"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
8470.06543400603,7.09531875073547,0.155236484541233,45.7065152673621,0,0,"COL10A1"
4804.97619321021,-4.43188862429136,0.106551740208101,-41.5937704596439,0,0,"GPAM"
24154.5389814454,6.26098944437525,0.142881869603417,43.8193415424453,0,0,"MMP11"
575.674662884102,-4.73870976129354,0.121855391233746,-38.887977899998,0,0,"MYOM1"
902.897939828957,4.2858948210211,0.111894572147836,38.3029734039159,0,0,"NEK2"
256.681347692103,6.87460462687969,0.184322300164101,37.2966516843555,1.85956451946999e-304,7.07502314174348e-301,"MIR4508"
8440.93067557352,-5.03043702771009,0.138985862695938,-36.1938756225536,7.60010614761603e-287,2.47850318768255e-283,"FHL1"
15200.678753456,-3.12725588318412,0.0875408536418187,-35.7233880306853,1.71366735262905e-279,4.88994979072699e-276,"TNS1"
632.336246143294,-4.89971395588425,0.140095093796527,-34.974200902428,5.5523576997825e-268,1.40832468411816e-264,"LOC100128164"
12123.9187326885,6.16116181428272,0.176294747723394,34.9480735747702,1.38517259652172e-267,3.16207200333978e-264,"COL11A1"
1273.16113676538,3.82226071457356,0.111081753766212,34.4094379588035,1.82187048890787e-259,3.78087813825353e-256,"KIF4A"
741.143738095953,-4.980458254275,0.148262716956772,-33.5921151082583,2.1868284362738e-247,4.16007662860486e-244,"LYVE1"
1013.43028351619,4.0300943151748,0.120400281857586,33.472465786598,1.21283401060211e-245,2.12973652261731e-242,"PKMYT1"
364.095140555918,-4.7131552155912,0.143143673766908,-32.9260461993311,9.31864574239277e-238,1.51947175005244e-234,"KLB"
8643.681929251,-3.4060943407332,0.103659103948262,-32.8586126157646,8.58079203980556e-237,1.30588213789788e-233,"CAV1"
6651.43857321838,-3.67993607118201,0.112218540239446,-32.7925854616355,7.51070813201364e-236,1.07159028273505e-232,"SORBS1"
453.259513785672,4.92960039086556,0.150396433557518,32.7773755950156,1.23721502959921e-235,1.66136145268769e-232,"PPAPDC1A"
299.999567029316,-4.65341317648231,0.142796441191221,-32.5877391457595,6.11832541014639e-233,7.75939624793455e-230,"SLC2A4"
1000.35324282651,3.34422124980403,0.103015306463102,32.4633432120289,3.51128013572259e-231,4.21871068096185e-228,"KIAA0101"
1187.01769030915,-3.62216301904085,0.111692495060501,-32.4297797902968,1.04440326308982e-230,1.19208188449072e-227,"NPR1"
2262.48671025534,-4.14550688002819,0.128310274709728,-32.3084561186268,5.32142881821268e-229,5.78464652676948e-226,"GYG2"
980.449469657148,-5.14873012409704,0.159505304366608,-32.2793661599064,1.36272225835485e-228,1.41401016880566e-225,"HSPB7"
2265.55800884843,3.67569440503476,0.113999784306107,32.2429943829101,4.41057944515049e-228,4.37759598147371e-225,"IQGAP3"
2495.71645982642,-2.47052967676607,0.0772684878119384,-31.9733146943295,2.56245492744797e-224,2.43732171182426e-221,"SIK2"
902.645790028838,-5.1277627339015,0.160812191850702,-31.8866540831812,4.08843153588928e-223,3.73322860405122e-220,"KCNIP2"
142.164776378564,-5.04235747738941,0.158578151034929,-31.7973027461945,7.0533327779331e-222,6.19282617902526e-219,"AQPEP"
360.99098064046,3.02145440584659,0.0951766652588147,31.74574773796,3.63466109520005e-221,3.07303864745284e-218,"SPC25"
5162.27469133085,-4.00802732789283,0.126312091273801,-31.7311453517528,5.78016427205228e-221,4.71248535722891e-218,"AOC3"
1713.73465633254,4.1282813906496,0.130373965024035,31.6649216727322,4.72606283515799e-220,3.7202262896892e-217,"UBE2C"
622.648356254379,-4.72845154476017,0.14933426059621,-31.6635414129486,4.93740971092082e-220,3.75703962936335e-217,"ACVR1C"
163.800558580817,6.84095674330455,0.216484843349048,31.6001648774764,3.67286714773811e-219,2.70465197576018e-216,"IBSP"
116.600871702145,-3.2521627299798,0.102921287650556,-31.598542966366,3.86621179957816e-219,2.75805884252407e-216,"PYGM"
4469.75247288273,3.54255266004283,0.112411553016197,31.5141332451158,5.56235355700767e-218,3.84780021210216e-215,"TPX2"
458.371806906726,-2.91262241075538,0.092514276632898,-31.4829507051418,1.48680385727872e-217,9.98257601587015e-215,"GPR146"
342.735344456596,3.38445220679934,0.107568505974325,31.4632259335009,2.76780252572596e-217,1.80523988735063e-214,"CDC25C"
1274.01417126995,3.32378384598807,0.105801592386501,31.415253504371,1.25258335854851e-216,7.94277025248484e-214,"UHRF1"
1522.58748157457,3.03230332418132,0.0968213388934837,31.3185436065623,2.60958059361039e-215,1.61004069705238e-212,"ASF1B"
998.246081514323,3.7590813189105,0.120260509545873,31.2578196542284,1.7480193100296e-214,1.0500996002462e-211,"NUF2"
26.168674169704,-4.00635371214675,0.128646606377605,-31.1423194513756,6.44437045440126e-213,3.77210483930954e-210,"AOC4"
37682.5093660571,-2.55877956907717,0.0823766224901406,-31.0619626263922,7.86536932120684e-212,4.48876627161274e-209,"GSN"
1331.23483037159,3.19110363902515,0.103228363190557,30.9130508359842,7.97650231573074e-210,4.4411608503293e-207,"UBE2T"
132.491835626255,-3.03264779782285,0.0981154710490487,-30.908966398447,9.05109688573522e-210,4.91948665970389e-207,"NIPSNAP3B"
61.3200502735791,-3.94384834059496,0.128178248653442,-30.7684679891204,6.92441010467708e-208,3.67605660161787e-205,"CRHBP"
868.250544692528,3.50600355210294,0.114024542687518,30.7477975308446,1.3085544974762e-207,6.78901865190607e-205,"HJURP"
295.741321666724,2.99612405052669,0.0976083135006362,30.6953777098828,6.56036278194918e-207,3.32799914636302e-204,"HSD17B6"
